trait,attribute,family
subcaudals,range from 38 to 62 in males and from 39 to 57 in females,viperidae
ventral scales,number 138–155,viperidae
supralabials,range from 7 to 10 (mode 8),viperidae
infralabials,range from 8 to 12 (mode 10),viperidae
total postoculars + suboculars,range from 2 to 6 (mode 4),viperidae
cross-bands color,brown to red,viperidae
cross-bands size,10–18 in males and females,viperidae
background color,light to medium- to light-brown,viperidae
cross-bands,do not narrow at midbody,viperidae
head coloration,matches that of the cross-bands with a lighter cheek stripe,viperidae
size,medium- to large-bodied,viperidae
adult size,76–122 cm,viperidae
maximum size,189.2 cm,viperidae
tail to total length ratio in males,0.15–0.19,viperidae
tail to total length ratio in females,0.13–0.18,viperidae
anal plate,single,viperidae
dorsal scales,keeled,viperidae
midbody scale rows,23–27,viperidae
subcaudals in males,45 to 54,viperidae
subcaudals in females,41 to 49,viperidae
ventral scales in males,135–145,viperidae
ventral scales in females,132–144,viperidae
supralabials,6 to 10,viperidae
infralabials,9 to 12,viperidae
total postoculars + suboculars,2 to 4,viperidae
color pattern,"11–16 dark cross-bands on an olive, brown or black background",viperidae
head color,typically brown,viperidae
stripes,"vertical stripes along the snout on the rostrals, prenasals, and first supralabials",viperidae
dark stripes,appear on the lower jaw extending from the mental to the first four or five infralabials,viperidae
cheek stripe,"dark, present bordered above and below by pale stripes",viperidae
nasorostral scales,present,viperidae
tail bands,5–6,viperidae
dorsal body blotches,40–42.5,viperidae
dorsal scale rows,23,viperidae
ultimate supralabial scale,"shorter, slightly longer than high",viperidae
supralabials,14,viperidae
ventral scales in females,169,viperidae
temporal scale rows,7,viperidae
colour pattern,mostly uniform colour pattern of slate or charcoal grey with indistinct blotches,viperidae
adult body size,smaller,viperidae
ventrals,168–169,viperidae
dorsal scale rows,23,viperidae
colour pattern,mostly uniform colour pattern of slate or charcoal grey with indistinct blotches,viperidae
adult body size,smaller,viperidae
dorsal scale rows,23,viperidae
supralabials,14,viperidae
ventrals,168–169,viperidae
color pattern,slate or charcoal grey with indistinct blotches,viperidae
adult body size,smaller,viperidae
tail bands,5–6,viperidae
dorsal body blotches,40–42.5,viperidae
interrictals,25–26,viperidae
prefrontals,21–27.5,viperidae
colour pattern,slate or charcoal grey with indistinct blotches,viperidae
nasorostral scales,presence,viperidae
dorsal scale rows,21.5-22,viperidae
subcaudals,16-22,viperidae
temporal scale rows,7,viperidae
supralabials,14,viperidae
interrictals,22-23,viperidae
prefrontals,18-20,viperidae
ground color,"pale tan, pinkish, beige",viperidae
blotches color,indistinct rust-brown,viperidae
adult body size,smaller,viperidae
tail bands,3-4,viperidae
dorsal body blotches,31-32,viperidae
ventrals,169.5-174,viperidae
interrictals in males,22,viperidae
ground color,slate or charcoal grey,viperidae
specimens,small body size,viperidae
bilateral pits,no adjective,viperidae
subcaudal scales,divided,viperidae
head,"long, narrow",viperidae
blackish brown spots,"2 – 4 rows, discrete",viperidae
round spots,a pair,viperidae
parietal scales,one on each side,viperidae
arched stripes,a pair,viperidae
vaporous black spots,small,viperidae
mid-body dorsal scales,up to 21 rows (occasionally 19 or 20 rows),viperidae
palatine teeth,three,viperidae
dorsum,dark brown spots or ×-shaped patterns,viperidae
dorsal scales,matt,viperidae
head shape,slender triangular,viperidae
body coloration,grayish brown,viperidae
canthus rostralis,indistinct,viperidae
rows of small discrete spots on the back,2 – 4,viperidae
supralabials,7,viperidae
pairs of subcaudal scales,>30,viperidae
lateral white line,lacking,viperidae
size,large,viperidae
total length,up to 715 mm,viperidae
ventral scales,148 – 151.9 – 156 in males and 152 – 159.9 – 168 in females,viperidae
simple subcaudal scales,25 to 29 in males (average 27.1) and from 18 to 23 in females (average 20.9),viperidae
dorsal rows,29 to 31 in males (average 30.7) and 31 to 33 in females (mean 31.3),viperidae
small scales surrounding each eye,(mean 16.2),viperidae
dorsal coloration pattern,brown vertebral stripe dark regularly interspersed with light spots,viperidae
sides dark spots,with white ocelli most often located next to the medio-dorsal light spots,viperidae
ventral scale,presence three to six dark spots,viperidae
mid-dorsal scales,"higher number, 25",viperidae
ventrals,"higher count, 172–175",viperidae
anterior chin-shields,"elongated, more than three times longer than the posterior ones",viperidae
canthal + intersupraocular scales,lower number,viperidae
supraocular scale,one large,viperidae
ventrals,172–175,viperidae
dorsal colour pattern,"consists of a dark ground colour with a lighter, orange zigzag pattern",viperidae
body shape,robust and massive,viperidae
snout-vent length (svl),1110 mm,viperidae
tail length (tal),160 mm,viperidae
length of head,46.92 mm,viperidae
width of head,34.76 mm,viperidae
head,broad and triangular with a bluntly rounded snout,viperidae
ventral scales,175 followed by 47 divided subcaudal scales,viperidae
dorsal scales,"24 rows around anterior dorsum, 25 at mid-body, 17 at posterior body",viperidae
dorsum color,shiny black,viperidae
belly,"dark, anterior with irregular light blotches",viperidae
body shape,very similar to the holotype,viperidae
snout–vent length,1110 mm,viperidae
tail,180 mm,viperidae
length of head,50.84 mm,viperidae
width of head,34.73 mm,viperidae
dorsum color,brownish grey with narrow crossbars,viperidae
ventral side color,little lighter than the dorsum with small black dots,viperidae
size,small,viperidae
midbody scales,minimal value of 19,viperidae
"loreals, apicals, and crown shields",present,viperidae
pre-ventrals,relatively large number,viperidae
supralabials,maximum number,viperidae
ventrals,maximum number,viperidae
sublabials,minimal value,viperidae
shields around an eye,minimal number,viperidae
zigzag wings,relatively small number,viperidae
color of males,grey,viperidae
color of females,light brown tones,viperidae
zigzag,"not numerous transversely elongated stains, united only in some places in males, well developed in females",viperidae
belly color of females,light-grey,viperidae
belly color of males,dark-spotted grey,viperidae
throat color,white,viperidae
dorsal color pattern,small c-shaped blotches,viperidae
postocular stripe,"postocular stripe originating posteriorly to the eye, two or two and a half scales width, covering three or four posterior supralabials",viperidae
head,dorsum of the head with paired markings arranged symmetrically,viperidae
venter,cream speckled with brown,viperidae
lacunolabial scale,absent,viperidae
prelacunal,discrete contacting second supralabial,viperidae
prefoveals,three to five,viperidae
subfoveal,single and usually present,viperidae
postfoveals,absent to two,viperidae
canthals,two,viperidae
intersupraoculars,seven,viperidae
suboculars,one or two,viperidae
postoculars,two or three,viperidae
supralabials,seven or eight,viperidae
infralabials,9-11,viperidae
interrictals,26-27,viperidae
middorsal scales,23-25,viperidae
ventrals,"172 in female, 169–173 in males",viperidae
subcaudals,"45 in the female, 50 in males",viperidae
dorsal blotches,c-shaped (or in the shape of a headphone),viperidae
dorsal blotches,smaller and rounder,viperidae
hemipenes,relatively short,viperidae
hemipenial lobes,fusiform and divergent,viperidae
dorsal scales at midbody,23 rows,viperidae
ventrals,141-187,viperidae
subcaudals,29-56,viperidae
supralabials,7-9,viperidae
total length,up to 750 mm,viperidae
snout,recurved,viperidae
apical pits,absent,viperidae
body,33-47 dark transverse bands,viperidae
dark transverse bands,each 3-5 scales wide and extending down to scale row 3 or 2,viperidae
body and tail,47-63 light bands,viperidae
coloration of the body dorsal surface,light background “desert”,viperidae
general coloration,pale,viperidae
body,36-50 dark transverse bands,viperidae
snout,slightly raised,viperidae
dorsal scales,strongly keeled on body and tail,viperidae
two pre- and two postoculars,present on each side,viperidae
total length,up to 590 mm,viperidae
total length,up to 660 mm,viperidae
total length,up to 735 mm,viperidae
supralabial scales,7-8,viperidae
total length,up to 625 mm,viperidae
a large number of ventral scales (v+prev),from 171 to 188,viperidae
a large number of sub- caudal scales,47–53 in males and 42–46 in females,viperidae
a large number of light bands around the body,35–41,viperidae
a large number of light bands around the body and the tail,47–63,viperidae
size,"slender, moderately stout",viperidae
males' total length,"735 mm, 740 mm and more",viperidae
females' total length,530 mm,viperidae
snout shape,slightly recurved,viperidae
supralabial scales,"usually 8, sometimes 7",viperidae
apical pits,absent,viperidae
dorsal scales,"23, rarely 21",viperidae
ventral scales,"149-167, 141-183",viperidae
subcaudal scales,"paired, between 33-47, 16-51",viperidae
coloration,pale,viperidae
body,36-50 dark transverse bands,viperidae
sides,not extending low,viperidae
light areas between bands,relatively broad,viperidae
viper,small,viperidae
total length,up to 590 mm,viperidae
supralabial scales,7-8,viperidae
dorsal scales around mid-body,"23, rarely 21",viperidae
ventral scales,between 153-165,viperidae
subcaudal scales,"paired, between 36-54",viperidae
body,29-43 dark transverse bands,viperidae
dark transverse bands,"4-5 scales wide, extending down to scale row 4 to 2",viperidae
total length,up to 590 mm,viperidae
dorsal scale,"23 rows, sometimes 21",viperidae
ventral,153 – 165,viperidae
subcaudals,36 – 54,viperidae
supralabials,7-8,viperidae
dorsal scales at midbody,23 rows,viperidae
ventrals,147-165,viperidae
subcaudals,39-46,viperidae
total length,up to 625 mm,viperidae
supralabial scales,7-8,viperidae
dorsal scales around midbody,23 rows,viperidae
ventrals,between 147-165,viperidae
subcaudal scales,"paired, between 39-46",viperidae
body,28-38 dark transverse bands,viperidae
dark transverse bands width,3-6 scales,viperidae
dark transverse bands location,down to scale row 3 or 2,viperidae
dorsal scale rows at midbody,17,viperidae
hemipenis,"unforked, slender, attenuate",viperidae
hemipenis,no spines visible to the naked eye,viperidae
scales,acutely keeled,viperidae
overall coloration,reddish-brown,viperidae
lateral stripe on the outer posterior edges of ventrals,white,viperidae
sometimes the first dorsal scale row,white,viperidae
eye color,reddish-brown,viperidae
midbody scales,17 longitudinal rows,viperidae
hemipenis,"unforked, no spines visible to the naked eye",viperidae
canthorostrals,present in some specimens,viperidae
prelacunal,fused or partially fused with 2nd supralabial,viperidae
internasals,"1/1, sometimes separated by one scale",viperidae
rostral,trapezoidal,viperidae
canthals,"1/1, oval to rounded, with similar size or slightly larger than internasals",viperidae
medial intercanthals,3–4,viperidae
intersupraoculars,8–12,viperidae
supraoculars,oval,viperidae
suboculars,1–3,viperidae
postoculars,2–3,viperidae
loreal,subtriangular,viperidae
prefoveals,2–6,viperidae
postfoveals,0–2,viperidae
scales between suboculars and 4th supralabial,1–2,viperidae
supralabials,7–8,viperidae
infralabials,9–11,viperidae
middorsal scales,23–25,viperidae
ventrals in females,189–195,viperidae
ventrals in males,182–190,viperidae
subcaudals in females,48–58,viperidae
subcaudals in males,54–63,viperidae
subcaudals,divided,viperidae
dorsal blotches,"triangular or subtriangular dark brown, usually fused on the vertebral line",viperidae
markings between the blotches,"absent or faint in females, present and conspicuous in males",viperidae
postocular stripe,conspicuous and dark 2.5–3.0 scales width,viperidae
size,rather small,viperidae
length,70 cm,viperidae
body,"slender, thickest in the middle and tapering slightly in both directions",viperidae
neck,constricted,viperidae
head,"broad, flat",viperidae
rattles,"small, delicate, six rattles, the sixth is broken, 8.5 x 20 mm",viperidae
scale rows,"twenty-five, heavy dorsally, weaker on the sides",viperidae
abdominal plates,175,viperidae
tail plates,"25-j-2, mostly in a single series",viperidae
supraoculars,large,viperidae
nasal,"anterior, large",viperidae
labials,"upper 13, lower 15",viperidae
gap between labials and eye,separated by 3-4 rows of small scales,viperidae
genials,"first pair very small, second pair enlarged",viperidae
general appearance,reddish-yellow brown,viperidae
pattern,"faint or almost obsolete pattern of slightly darker brown rhombs, about 40 along the dorsum, mostly connecting with spots of similar color on the sides, tail has faint cross-bands which are ten in number",viperidae
postocular line,"extremely faint, horizontally to the posterior edge of the mouth",viperidae
abdominal plates,"more yellow, grading to a slightly darker yellowish brown peppered with spots of darker color at each end of the plate",viperidae
body size,moderate,viperidae
svl,up to 532 mm,viperidae
head,"robust, round, oval in shape",viperidae
snout,"blunt, upper jaw not projecting forward",viperidae
mid-dorsal scale count,21,viperidae
ventral scale count,158–174,viperidae
subcaudal scale count,42 or 43,viperidae
internasal scales,"rectangular shaped, not truncated anteriorly",viperidae
dorsal body scales,"matte, not glassy, without metallic luster",viperidae
spines on hemipenes,"long, extending beyond the fork point toward tips",viperidae
dorsal background coloration,light buff to pale pinkish buff,viperidae
olive horn color transverse patches,"distinct, with jet black edges",viperidae
ventrolateral lines,absent,viperidae
c-shaped pattern on occipital region of head,"jet black, with the opening of the c figure facing anterior direction",viperidae
prominent vertebral process,no adjective,viperidae
scale tuberculations,conspicuous,viperidae
paravertebral stripes,"three scale rows, light center",viperidae
presupraloreal scale,absent,viperidae
postloreal scale,absent,viperidae
postsupraloreal scale,usually absent,viperidae
contact between lacunal and supralabial scales,68%,viperidae
postocular stripes,"3.0–3.5 scales width, light center",viperidae
contact between paravertebral stripes and supraocular scales,97%,viperidae
dark prefrontal bar,interrupted,viperidae
ventral scales in males,168–176,viperidae
ventral scales in females,169–178,viperidae
mid-dorsal scale rows,27–29,viperidae
intercanthal scales,absent,viperidae
first infralabial scales,not divided,viperidae
postrostral scale,absent,viperidae
prenasal-supralabial scales contact,100%,viperidae
interpreocular scale,absent,viperidae
anterior intersupraocular scales,usually two,viperidae
presupraloreal,absent,viperidae
postloreal,absent,viperidae
postsupraloreal scale,usually absent,viperidae
superciliar scale,absent,viperidae
lacunal-supralabial scales contact,68%,viperidae
postocular stripe,"3.0–3.5 scales width, light center",viperidae
dorsal body blotches in males,24 (23–27),viperidae
dorsal body blotches in females,23 (22–26),viperidae
contact between paravertebral stripes and supraoculars,97%,viperidae
prefrontal bar,interrupted,viperidae
color in life,"varies, low contrast between blotches and interspaces",viperidae
vertebral process,prominent,viperidae
scale tuberculations,conspicuous,viperidae
paravertebral stripes,"two scale rows, usually with light center on the nape",viperidae
length of paravertebral stripes,22 scales,viperidae
dorsal body blotches,31,viperidae
intercanthal scales,18.7% (n = 16) of specimens,viperidae
interpreocular scale,50% (n = 16) of specimens,viperidae
first infralabial scale,divided in 18.7% (n = 16),viperidae
postrostral scale,12.5% (n = 16),viperidae
postsupraloreal scale,usually 1,viperidae
contact between lacunal and supralabial scales,56.2% (n = 16),viperidae
postocular stripe,"three scales, usually with light center",viperidae
contact between paravertebral stripes and supraocular scales,68.7% (n = 16),viperidae
dark prefrontal bar,interrupted in 93.7% (n = 16),viperidae
ventral scales in males,168–186 (mode = 181),viperidae
ventral scales in females,177–187 (mode = 187),viperidae
subcaudal scales in males,27–32 (mode=31),viperidae
subcaudal scales in females,21–26 (mode= 24),viperidae
mid-dorsal scale rows,27–31 (mode=27),viperidae
dorsal body blotches in males,25–31 (usually 31),viperidae
dorsal body blotches in females,25–30 (usually 30),viperidae
prenasal-supralabial scales contact,93.7%,viperidae
usually three anterior intersupraocular scales,no adjective,viperidae
open presupraloreal,absent,viperidae
postloreal scales,one or two sometimes present,viperidae
superciliar scale,absent,viperidae
tertiary blotches,not conspicuous,viperidae
paravertebral stripes,often with light center only in the nape,viperidae
contact of paravertebral stripes with supraoculars,68.7%,viperidae
prefrontal bar,interrupted in 93.7%,viperidae
dessus de la tête,"allongées, lancéolées et dressées",viperidae
petit tubercule,no adjective,viperidae
écailles sous-caudales,"entières, puis divisées et finalement très étroites et lancéolées",viperidae
rangs d’écailles dorsales à mi-corps,19 à 21,viperidae
ventrales et de sous-caudales,141 à 152 ventrales et de 43 à 55 sous-caudales,viperidae
trois suprarostrales,no adjective,viperidae
deux écailles entre la nasale et l’oeil,no adjective,viperidae
deux rangées d’écailles entre l’oeil et les supralabiales chez les femelles tandis que la deuxième rangée est absente chez les mâles,no adjective,viperidae
yeux,beaucoup plus grands,viperidae
ventrales,"environ 160, moins",viperidae
rangs de dorsales à mi-corps,15 ou 16,viperidae
sous-caudales divisées,absence,viperidae
yeux,nettement plus grands,viperidae
rangs dorsaux à mi-corps,16 à 19,viperidae
sous-caudales divisées,absence,viperidae
nombre de rangs dorsaux,"27 à 37, 23 à 34, 23 à 31",viperidae
contact de l’œil avec les supralabiales et le petit nombre de rangs dorsaux,14 à 16,viperidae
number of sous-oculaires,un seul rang,viperidae
nombre de rangs dorsaux,23-25,viperidae
ventrales,153 – 170,viperidae
cinq suprarostrales,no adjective,viperidae
trois écailles entre la nasale et l’œil,no adjective,viperidae
body size,relative larger,viperidae
tl,up to 1310 mm,viperidae
dorsal scale rows,"23– 23–17, all keeled",viperidae
ventral scales,231-234,viperidae
number of subcaudals,80-84 pairs,viperidae
supralabials,8-9,viperidae
infralabials,12-13,viperidae
lance-head pattern on upper head surface,typical,viperidae
vertical facial stripes,three bold,viperidae
postocular stripe,bold,viperidae
dorsal body and tail,reddish-brown,viperidae
each scale,black edges,viperidae
transverse blotches,somewhat fused together as a zigzag median line,viperidae
large ventrolateral blotches,darker marking edged with a narrow yellow line,viperidae
number of ventrals,greater than 200,viperidae
number of mid-body scale rows,lesser,viperidae
dorsal scale rows,"all keeled distinctly vs 25 – 27 (rarely 23) and keeled, except the 1st row smooth",viperidae
vertical stripes from eyes,presence,viperidae
"higher numbers of ventrals, supralabials and infralabials",slightly longer,viperidae
1st supralabial fused with nasal,no adjective,viperidae
dorsal scale rows at midbody,"19–21, moderately keeled",viperidae
dorsal colouration,greenish yellow,viperidae
orange to reddish stripe,"extends from the posterior borders of the preocular, running through the lower margin of the eyes to the lateral side of the nape in males",viperidae
ventrolateral stripe,predominantly yellow with a faint orange,viperidae
tail to total length ratio (tal/tl),"0.18 in males, 0.14 in females",viperidae
hemipenis,"short, bilobed",viperidae
hemipenis reach,8th caudal scale,viperidae
palatine teeth,6,viperidae
pterygoid teeth,15,viperidae
dentary teeth,19,viperidae
body shape,"moderately elongate, slender",viperidae
head shape,"elongate, triangular, flattened",viperidae
snout shape,"moderate, overall flattened from top and side view, rounded from top view, truncate when seen from lateral side",viperidae
tail shape,"typically cylindrical in cross section fairly short, prehensile, tapering",viperidae
svl (snout to vent length),459–565 mm,viperidae
tal (tail length),92–116 mm,viperidae
tl (total length),571–659 mm,viperidae
hl (head length),21.01–26.93 mm,viperidae
hw (head width),10.05–16.34 mm,viperidae
# of ventral scales,163–170,viperidae
# of subcaudals scale,"62–73 in males, 56–59 pairs in females",viperidae
# of dorsal scale rows,19–23:21:15–17,viperidae
iris color,greenish yellow,viperidae
pupil color,black,viperidae
tongue color,blackish pink,viperidae
head and body,dark green,viperidae
postocular stripes,absent,viperidae
upper labials,light green,viperidae
ventrolateral stripe,faint green yellow,viperidae
iris,golden yellow,viperidae
dorsal tail,mostly dark red,viperidae
lateral and ventral tail,green,viperidae
stripe on the ventral part of the tail,orange red,viperidae
dsr,21/22–21–15,viperidae
ven,161-163,viperidae
sc,52–72,viperidae
cep,10,viperidae
first upper labial,partially fused to the nasal,viperidae
hemipenes,"elongated, bilobed at 6th plate, tips reaching sc 37–38, small spines present posterior to the bifurcation",viperidae
sulcus spermaticus,"shallow, visible, divides at the base of the organ",viperidae
head scales,not or weakly keeled,viperidae
tail,shorter,viperidae
supralabials,more,viperidae
ventrolateral stripe,"faint, green yellow",viperidae
“horns” above the eyes,absent,viperidae
rows of scales between the eyes and supralabials,one or two,viperidae
lanceolate or acuminate scales on top of the head,lack of,viperidae
conspicuous lateral and/or dorsal markings on the head,lack of,viperidae
dorsal scale rows at midbody,23 to 25,viperidae
ventral scales,153,viperidae
undivided subcaudals,47 to 50,viperidae
suprarostrals,four,viperidae
interorbitals and interrictals,10 & 19-20,viperidae
background dorsal coloration,brownish-green,viperidae
large transverse dark markings,present,viperidae
rows of scales between eye and supralabials,one or two,viperidae
midbody scale rows,23 to 25,viperidae
ventral scales,153,viperidae
interorbitals,10–12,viperidae
interrictals,19–20,viperidae
scales between the eye and the nasal,three,viperidae
suprarostrals,four,viperidae
maximum known total length,52 cm,viperidae
body,"medium to large sized, 277–835 mm svl",viperidae
dorsal scales,in a series of 21–25:21–23:15–17 rows,viperidae
nasal,partly fused with the first supralabial,viperidae
ventrals,166–179,viperidae
subcaudals,46–70,viperidae
preocular,one,viperidae
postoculars,2–3,viperidae
supralabials,10–12,viperidae
infralabials,12–15,viperidae
internasals,"two, usually in contact with each other",viperidae
cephalic scales,11–14,viperidae
relative tail length (tal/tl),ranging from 0.143–0.20,viperidae
dorsal and ventral color,verdant green,viperidae
supralabial streak in males,white,viperidae
supralabial streak border,reddish tinge,viperidae
stripes along the sides of the tail,white and red,viperidae
tail color,reddish brown,viperidae
iris color,greenish,viperidae
hemipenis,reaching the 13th caudal plate,viperidae
mid-body scale rows,range from 21–25:21–23:15–17,viperidae
sexual dimorphism,apparent in body for the tail dimensions and the number of subcaudals,viperidae
dorsal body color,jungle-green,viperidae
transverse dark bands on skin,faint,viperidae
ventral body color,yellow green,viperidae
lateral head color,"jungle-green, green yellow",viperidae
lateral head,no postocular stripes,viperidae
ventrolateral line of male color,yellow-green,viperidae
ventrolateral line of male,"narrow, only present on outermost row of dorsal scales",viperidae
iris color,firebrick-red,viperidae
first supralabial,fused with nasal,viperidae
head scales,feebly keeled,viperidae
dorsal scale row,23-21-15,viperidae
dorsal scales,feebly keeled except the outermost rows,viperidae
ventral scale in males,154-163,viperidae
ventral scale in females,158-160,viperidae
subcaudal scale in males,58-72,viperidae
subcaudal scale in females,52-59,viperidae
hemipenes,long,viperidae
hemipenes,reaching 23rd/32nd subcaudals when unextruded/extruded,viperidae
papillae,relatively weak and sparse,viperidae
tail,with a dark red longitudinal stripe,viperidae
tail,dorsal scales on tail jungle-green,viperidae
sc,"green-yellow, dark red",viperidae
pupils,edged with lighter color,viperidae
tone coloration,maroon,viperidae
ventral color in t. albolabris,yellow-green,viperidae
postocular stripe,absent,viperidae
dorsal tale stripe color,dark red,viperidae
hemipenes,"with relatively weak sparse papillae, reaching 23rd subcaudal when unextruded",viperidae
body,robust,viperidae
svl,245-805 mm,viperidae
tail,short,viperidae
tl,35-113 mm,viperidae
first third of the body dorsals,23-27,viperidae
midbody dorsals,23-25,viperidae
last third of the body dorsals,18-21,viperidae
females ventrals,"156-164, median 160",viperidae
males ventrals,"154-159, median 156",viperidae
anal scale,not divided,viperidae
subcaudals in females,"42-48, median 44.5",viperidae
subcaudals in males,"47-52, median 48.8",viperidae
lateral trapezoidal marks in each side,"9-13, median 11.01 and 11.7 on the right and left side respectively",viperidae
post-orbital stripe,absent or poorly marked,viperidae
supralabials,eight,viperidae
infralabials,10-12,viperidae
second supralabial,fused to the prelacunal,viperidae
belly,checkered,viperidae
vertebral stripe,absence,viperidae
background skin colouration,greyish and reddish,viperidae
eye,reddish,viperidae
dorsal bands,red/purple,viperidae
suborbital stripe in males,"white, concave",viperidae
vertebral dots in males,"white, spaced",viperidae
belly,pale green,viperidae
1st supralabial and nasal scale,partially fused,viperidae
dorsal scale rows at midbody,19,viperidae
ventrals,164–171,viperidae
subcaudals in males,63–65,viperidae
subcaudals in females,51–53,viperidae
svl,451 mm,viperidae
hemipenes,"long, papillose",viperidae
dorsal surface of head,dark green,viperidae
"snout, interorbital, temporal and occipital regions",partly or entirely dark red,viperidae
stripe under the loreal pit,white,viperidae
pupil,"black, vertical",viperidae
iris,copper,viperidae
dorsum,"dark green, about 62 irregular, dark red crossbands",viperidae
red bands,"about two dorsal scales long mediodorsally, narrower on lower flanks",viperidae
vertebral row,interrupted line of white dots,viperidae
tail,red with thin lighter bands,viperidae
infralabials,green and white,viperidae
underside of head,mostly white,viperidae
third supralabial scale,not touching the orbit,viperidae
occiput,with a pair of prominent black markings,viperidae
cheek stripe color,black-bordered greyish,viperidae
midbody,irregular black annular crossbands,viperidae
ventral side,two rows of black blotches,viperidae
circum-body scales,23-21-15,viperidae
ventral scales,165,viperidae
subcaudal scales,46,viperidae
palatine teeth,three,viperidae
mid-body dorsal scales,21 rows,viperidae
back,irregular black markings,viperidae
supralabials,seven,viperidae
body color,greyish brown,viperidae
lateral side,no lateral white line,viperidae
eye color,"upper half dark brown, bottom half black",viperidae
postorbital stripe,"wide, greyish brown and black bordered",viperidae
supralabials and infralabials,greyish brown scattered with small irregular black blotches,viperidae
anterodorsal head,black triangular mark,viperidae
dorsomedial head,bold black m-shaped mark,viperidae
postorbital,white and black,viperidae
pupil,black with light yellow margins,viperidae
canthus rostralis,indistinct,viperidae
dorsal scale rows,10–14,viperidae
ventral scale counts,150,viperidae
body shape,"slender, cylindrical",viperidae
svl,263mm,viperidae
prehensile tail,57 mm,viperidae
dsr,17,viperidae
msr,15,viperidae
psr,10,viperidae
head,"prominent, of length 20.5mm",viperidae
rostral scale,triangular,viperidae
supraoculars,length 5.46 mm,viperidae
eye with a distinct elliptical pupil,vertical diameter of the eye 2.94 mm and horizontal diameter 3.52 mm,viperidae
nasal scale,undivided and subrectangular,viperidae
ventral scales,150,viperidae
subcaudals scales,59 divided,viperidae
terminal scale on the tail,"larger than the previous scale, blunt at the tip",viperidae
svl of paratype,504 mm,viperidae
tl of paratype,145 mm,viperidae
dsr of paratype,14,viperidae
msr of paratype,14,viperidae
psr of paratype,11,viperidae
infralabial scales of paratype,11 on sides,viperidae
color in life,"dark to verdant green on the dorsal surface, lighter green throughout the body dorsally up to (the tail and along the lateral sides of the body including the head); a prominent, 2-scale wide, white lateral stripe; small patches of blue on head and dorsal scales; the tail tip banded with dark blue or black; the last 11 scale rows of the tail banded with black to dark blue and white to yellow; creamy white to yellow mentum fades into a light creamy green throughout the ventrals, sometimes separated by the white ventral stripe from the lateral part of the body",viperidae
cryptic lineage,no adjective,viperidae
c. malabaricus complex,"8.3%, 1.2% genetic divergent",viperidae
c. travancoricus sp. nov,"7.1%, 1.5% genetic divergent",viperidae
palghat gap,no adjective,viperidae
periyar plateau,no adjective,viperidae
gudrikal range,no adjective,viperidae
devarmalai,no adjective,viperidae
body,"cylindrical, svl 505mm",viperidae
tail,"prehensile, 87mm",viperidae
dorsal scales,mildly keeled,viperidae
"dsr, msr, psr","21, 21, 15",viperidae
head,"length 29mm, prominent and clearly distinguished, strongly imbricate small scales",viperidae
rostral scale,visible from above,viperidae
supraoculars,divided,viperidae
scales,"nine between the supraoculars, surrounding each divided pair of supraoculars, between the posterior border of the supraoculars",viperidae
canthus rostralis,four scales on the canthal ridge,viperidae
preoculars and postoculars,two,viperidae
subocular,elongated cresent shapend,viperidae
temporals behind the oculars,strongly keeled,viperidae
eye,"distinct elliptical pupil, vertical diameter 3.3 mm, horizontal diameter of 3.98 mm",viperidae
supralabials and infralabials,"nine, eleven",viperidae
ventrals,"157, separated laterally from the body scales by a row of slightly broader dorsal scales",viperidae
anal scale,undivided,viperidae
caudals,"55 divided, terminal scale rounded and blunt at the tip, slightly larger than the previous scale",viperidae
dorsal head scales,black,viperidae
anterior scales,hints of light green,viperidae
posterior head scales,bordered with yellow,viperidae
lateral parts of the head,light bluish green,viperidae
underside,creamy yellow to white,viperidae
ventral scales,creamy yellow scales alternating with light greenish yellow scales,viperidae
caudal scales,"yellow, bordered and often blotched with black scales",viperidae
dorsum,black blotches,viperidae
cryptic lineage,belongs to the c. malabaricus complex,viperidae
genetic divergence,"9%, 2.2%, 7.1%, 1.5%",viperidae
distribution,allopatric with c. malabaricus and c. anamallensis,viperidae
holotype,in good condition,viperidae
body,"slender, cylindrical, svl 345 mm",viperidae
tail,"prehensile, tl 61 mm",viperidae
dorsal scales,"keeled, dsr 21, msr 23, psr 14-15",viperidae
head length,20.28 mm,viperidae
rostral scale,sub triangular,viperidae
eye,"distinct elliptical pupil, vertical diameter of the eye 2.6 mm and horizontal diameter 3.4 mm",viperidae
eyelid,thin elongated crescent shaped,viperidae
bventrals,"147, laterally separated from the dorsal scale rows by a slightly broader row of dorsal scales",viperidae
anal scale,undivided,viperidae
subcaudals scales,"55 to 56 divided, terminal scale on the tail larger than the previous scale, blunt at the tip",viperidae
variations,"svl upto 282 mm and tl 65 mm, dsr 20 to 21, msr 21, psr 14 to 15, 157 ventrals and 55 subcaudals, three to four canthal scales on the canthus rostralis, seven to nine cephalic scales from above, 10 to 12 infralabials",viperidae
dorsal color of head,"dark brown to purplish brown, with scales bordered with light yellowish green",viperidae
body color,in light faded green and brown marbled scales with 28 brown saddle shaped markings,viperidae
subcaudal color,in black with yellow blotches,viperidae
tail color,with 13 yellowish green bands on dark brown to black,viperidae
eye color,"silverish with a tinge of yellow, rufous red blotches",viperidae
ventral scale count,142–154,viperidae
genetic divergence at cyt b,8.1%,viperidae
genetic divergence at16s,1.0%,viperidae
